Mexican data set (Lawton et al. 2009),1 sigma,"Mogollon Highlands (Laskowski et al., 2013)",1 sigma,TSA3 Composite (May et al. 2013),1 sigma,Arc Laskowski et al. 2013,1 sigma,Mesozoic Eolianites,1 sigma,late Paleozoic Appalachian basin Washington Fm,1 sigma
1427.4,49.1,506.2,8.5,142.2927435,2.559646732,104.4,1,499.3,3.4,,
1448.6,38,516.1,8.7,317.2778201,8.265597165,104.4,2.3,505.7,11.6,,
1498.1,29.4,516.3,10.1,317.7486251,9.523931301,104.5,3.8,508.9,12.5,,
1521.5,60.1,550.1,7.8,401.9891516,11.66550409,104.6,1,510.7,8.2,,
1533.8,54.6,550.2,5.7,416.3880833,7.890451559,104.7,4.2,512.5,8.9,,
1560.3,52.1,565,9,428.1533799,11.78660986,104.7,0.9,516.9,7.7,,
1625.3,54.7,589.5,9.9,630.8047833,11.81788268,104.8,1.4,517,9.8,,
1655.5,26.7,595.8,10,895.3667954,11.81921902,104.9,2.5,517.6,67.2,,
1657.1,39.9,595.9,2.8,978.5302302,69.02749317,105.6,5.4,517.6,67.2,,
1694,41.8,598.6,5.4,1002.568961,26.60826118,105.7,2,518,5.4,,
1704.9,29.6,601.5,4,1007.726469,30.07029524,105.8,2.2,518.9,5.5,,
1717.5,69.6,610,6.8,1064.765922,13.12171418,106.9,1.3,519.2,14.3,,
1759.6,35.5,611.3,6.1,1070.098774,104.8964453,108.6,5,521.5,10.3,,
1774.6,25.2,616,8.5,1092.530052,51.77337219,108.8,4,521.6,5.5,,
1782.8,48.7,622.2,8.2,1098.534579,41.39848882,109.4,3.7,522.5,27.5,,
1821.2,27.6,633.4,7.9,1108.315782,59.98737306,109.5,4.6,523,7,,
1887.9,24.5,634.8,11.2,1119.2096,37.85125475,110.2,2.1,524.6,6.7,,
2351.2,79.9,635.6,6.1,1147.013188,25.39613968,110.2,2.6,527.7,8.3,,
63.2,5.6,637.4,14.9,1174.847922,4.57005371,110.5,3.6,528.5,6.3,,
79.6,2,649,4,1178.666937,9.274940883,110.6,1.7,528.6,11.6,,
81.2,3.6,654.8,10.6,1247.024405,17.35014101,110.7,2.5,529.3,5,,
82.5,4.6,798.4,12.9,1251.402943,53.6679938,110.9,3.4,529.5,5.9,,
83.4,3.5,857,32.1,1259.793674,8.340206558,111.1,3.5,531.1,5.1,,
85.4,4.5,887.6,7,1315.816851,9.70528484,111.7,5.2,531.9,7.1,,
91,2.4,944.4,26.4,1332.697629,39.65465332,111.9,2.8,534.5,19.3,,
93.1,3.2,948.4,8.8,1342.546054,8.645523969,112,2.2,539.3,5.5,,
93.3,2.5,983.4,52.4,1351.616118,45.89333413,112.1,4.1,541.3,19.4,,
93.6,6.2,983.7,73.8,1366.167165,23.1093593,112.2,2.5,542.1,18.2,,
94.6,6.6,992.9,54.7,1380.831131,14.68455534,112.4,3,542.5,23.6,,
95,5.2,998.2,8.4,1381.209433,14.29208016,112.5,2.6,543,11,,
96.8,6.5,1001.1,46,1396.333501,8.630750137,112.7,2,543.2,7.9,,
97.9,6.2,1002,59,1437.010438,25.6350725,112.7,4.6,543.7,8.7,,
98.3,3.3,1008.1,12.7,1438.299769,10.30351572,112.9,1.3,544.2,5.2,,
101,3,1012.2,63.7,1448.155469,7.968733422,113.3,1.1,544.3,13.6,,
104.5,5,1019.5,50.5,1464.898773,14.10917981,114,3.9,544.7,5.2,,
107.7,4.1,1020,35.9,1501.327176,35.49423867,114,3.4,545,7.6,,
114.5,4,1021,29,1553.471361,19.91514053,114.4,1.4,545.6,17.7,,
117.3,3.2,1021.5,78,1570.223167,10.18266593,114.6,11.1,546,13.9,,
118.3,6.8,1023.5,48.2,1606.623941,13.26038336,115.4,3.7,546,15.4,,
124,11.5,1025.7,68.8,1609.555889,5.019793352,115.8,2.4,546.2,15.4,,
124.5,3,1029.1,23.1,1629.26637,15.63244449,116.2,1.2,546.9,9.5,,
125.4,11,1030,63,1635.625408,25.42280122,116.2,4.2,548.8,9.9,,
126.3,4.1,1031.8,57.7,1636.756175,10.38462026,117.8,4,548.8,13.4,,
126.9,9.6,1039,21.4,1649.463742,27.66476376,119.1,8.7,552.8,6.9,,
127.5,10.6,1039.1,56.5,1653.649731,11.39894048,119.2,4.6,554.5,22,,
128.5,5.7,1040,28.3,1657.940987,13.56208507,119.2,3.2,558.5,7,,
129.6,3,1043.4,52.3,1666.385965,9.490271935,119.6,4.4,558.6,18,,
129.9,2.1,1043.9,35.7,1704.746152,17.97944053,119.7,2.8,560.3,16.7,,
130,3.9,1045.8,12.4,1709.926207,16.52440281,120,1.6,561.1,10,,
130.8,8.2,1045.9,29.5,1712.017288,10.5996072,120.1,2.2,561.1,6.4,,
132.3,2.8,1049.4,36.2,1713.650696,12.46487212,121.8,4.9,563.2,9.1,,
133,3.6,1055,15,1715.169887,23.1358026,122.7,11.1,565.3,15.9,,
133.9,6.4,1056.9,57.6,1715.651341,8.986339824,123.9,1.5,567.4,9.5,,
135.7,6.1,1056.9,40.7,1715.688848,20.94484904,129.7,3.2,569,4.9,,
136.6,7.7,1057,50,1716.610281,7.133485429,131.6,4.1,569,13.3,,
138.8,8.3,1058.9,50.9,1717.688103,9.584677764,132.7,2.9,571,7.9,,
139.4,4.1,1059.5,28.5,1717.762204,12.44771608,137.5,4.6,571.8,18.2,,
139.9,7.3,1060,20.2,1718.146678,12.95655926,138.5,2.3,572.4,18.1,,
141.5,4.6,1061.6,21,1719.76434,7.045161164,139.6,10.6,573.1,5.6,,
150.2,10.6,1063.6,87.4,1724.448185,10.62459851,144.4,4.2,574.2,8.5,,
155.6,4.2,1064.1,51.3,1727.876112,61.47245006,144.7,4.9,574.3,9.5,,
156.1,3.9,1065.8,99.3,1734.813369,17.67659084,145.7,3.9,575,9.2,,
156.1,4.5,1066,14,1734.938267,14.12429409,146.3,3.9,575.2,24.7,,
156.8,6.8,1066.4,92.3,1737.396437,39.27618838,146.7,2.4,575.7,10,,
160,6.8,1067.6,57.2,1742.682343,16.32510167,147.3,3.8,576.4,12.4,,
160.1,3.8,1067.7,32.8,1753.776779,31.42452516,147.6,4.4,578.6,6.5,,
161.3,5,1071.8,38.8,1755.661596,42.81340783,148,1.9,578.7,8.6,,
162,13.4,1072.3,41.8,1762.530194,27.4783093,148.8,2.3,579,10.1,,
162.7,13.3,1073,15,1767.992612,11.84351208,148.9,1.6,579.5,12,,
168.6,5.5,1074,71,1774.911191,8.062709166,149,3.6,580.6,11,,
177.8,15.5,1074.1,33.9,1777.828615,10.66883781,149.3,3.2,580.7,6.7,,
214.9,17.8,1074.9,84.6,1780.388413,26.67518957,149.5,1.3,580.9,6.2,,
238.2,13.7,1075,10.1,1785.48567,42.80197317,150.3,3.9,583.5,8.2,,
250.1,16.1,1077.7,63.1,1792.373362,53.53102676,150.3,2.5,583.6,10.8,,
252.9,7,1079.6,50.1,1795.998811,14.12111795,151,1.1,584,5.7,,
253.8,4.1,1082,33,1796.897697,10.36591406,152.7,2.1,584.8,20.8,,
258.5,4.2,1083,22,1797.409735,9.008257988,152.9,3.3,584.9,10.4,,
259.8,8.5,1083.8,55.6,1803.908426,13.84400019,153.2,3.2,586.7,11.3,,
269.4,9,1086.7,78.6,1804.076408,4.782150498,154,2.5,586.8,14.3,,
282.3,25.2,1088.4,39.5,1849.408987,16.54542367,154.2,2.8,588.3,7.1,,
330.6,9.5,1090.5,58.8,1852.228697,21.87668361,154.3,2.6,588.7,17.8,,
1019.3,49.7,1090.8,36.4,1888.418026,7.635517642,154.6,3.9,589.5,10.4,,
1031,46.2,1091,14,1892.71039,30.61166973,155.2,5.3,589.6,5.4,,
1036.7,44.2,1094.2,35.8,1915.031322,19.27590459,155.6,4.3,591.2,14.7,,
1057.3,43.7,1094.8,18.9,2157.020459,85.82976423,156.2,3.6,592.8,5.7,,
1067.9,39.1,1095,73,2499.397309,24.35383369,156.4,3.1,593.7,21.3,,
1135.2,35.7,1095,56.6,2589.050341,10.02860893,156.7,3,596.3,13.3,,
1138.8,36.1,1095.9,50.7,2596.73092,12.69471806,156.8,0.8,597.2,12.7,,
1144,53.8,1098.9,25.6,2605.092894,10.41239687,157,1.4,597.3,20.4,,
1190.6,37.5,1099.8,49.5,2649.120099,7.952246528,157.2,3,598.8,16.4,,
1203.3,49.4,1100.8,45,2722.181579,4.1943413,157.4,1.6,599.2,7.9,,
1213.5,28.8,1102.6,42.8,2723.987553,5.318520466,157.4,2.6,601.7,17.9,,
1433.3,19.1,1103,85,2739.220821,9.911492584,157.6,1.4,602.8,8.4,,
1457.9,32.4,1103.5,28.9,2770.460094,4.56326638,157.7,6.7,602.9,10.3,,
1566.3,61.1,1104.7,60.1,2869.029728,24.62532795,158.1,0.8,604,6.8,,
1636.9,31.5,1105.7,27.7,2946.306244,7.675558195,158.5,2,604.3,11.4,,
1647.8,29.2,1105.7,26,3075.664085,15.84042982,158.9,2.9,605.4,5.8,,
1672.5,31.1,1107.8,30.9,3134.388613,5.853990324,159,3.3,605.5,15.5,,
1741.5,32.3,1108,46,3252.757638,12.18591909,159.1,2.2,605.7,6.6,,
1760.2,37.8,1108.1,27,74.88822,1.969771,159.9,3.9,606,10.8,,
1778.6,41.6,1115,85,80.59634,1.0995415,160,11.1,606.5,5.8,,
1867.8,56.1,1116.7,62.7,80.99552,1.4844335,160,2.5,608.3,11.7,,
2715,28.4,1122,14,81.1435,1.296113,160.2,2.4,608.4,10.9,,
80.3,3.4,1123.1,61.3,86.57011,0.8529645,160.3,1.6,609,8,,
81.6,6.5,1123.1,42.5,87.63911,1.883339,160.4,1.9,609.1,7.4,,
82.6,1.6,1123.6,38.7,90.92,0.934347761,160.5,2.4,609.2,8.4,,
83.3,5.3,1123.7,68.2,94.17815,1.2794355,160.6,2.5,612.8,13.2,,
87.3,3.6,1129.1,43.6,97.31424,1.387161,161,1.6,613,8.7,,
88.7,3.5,1129.8,21.2,97.96822,1.328519,161.2,3.3,614.3,5.9,,
89,7,1134.5,16.3,201.4154,2.785444,161.3,2.5,616.6,13.5,,
91,5.3,1147,32,307.5537,3.035671,161.7,7.2,617.9,19.3,,
92.9,2.2,1148.8,42.9,357.9406,5.928775,161.7,4.6,617.9,5.9,,
93,4.6,1150,81,405.0506,5.37052,162.6,2.1,619.3,21.7,,
94.9,6.2,1153.2,20.2,433.1137,5.295915,163.2,4.3,619.9,14.1,,
94.9,4.5,1155,58,476.0189,5.428525,163.6,10.7,621.3,24.1,,
95.8,2.2,1155.6,61.9,476.5963,8.624275,164.1,2.5,621.6,9.7,,
99,6.1,1158.9,19.9,528.2496,6.87506,164.2,4.9,621.7,12,,
99.9,5,1159.6,47,1027.264,42.67855,164.5,3.2,622,9.4,,
100.7,6.6,1159.8,30,1030.843,49.10336,164.7,1.6,622.2,13.8,,
102.7,9.1,1160.1,27.8,1044.143,42.81283,164.9,2.1,622.5,16.5,,
105.1,5.1,1161.4,28.2,1079.027,36.364025,165,5.6,622.8,9.1,,
106.2,4.4,1164.2,19.8,1091.145,20.922715,165,4.9,623.6,11.1,,
117.7,8.8,1164.7,53.6,1127.516,65.67125,165.1,0.8,624.2,11.2,,
126.2,5.2,1167,44,1222.619,37.80261,165.1,0.9,625,13.2,,
127.1,3.6,1169.1,26.5,1293.707,48.031825,165.7,3.5,625.6,10,,
127.7,6,1171.2,28.1,1315.244,88.99145,165.7,0.8,625.9,9.2,,
129,4.3,1173.2,20.1,1326.33,40.87154,166.1,1.1,627.3,6,,
130.3,3.6,1175,50.7,1363.11,45.566335,166.2,5.7,627.6,8.4,,
131.3,5.5,1176.5,21.6,1370.801,29.030365,166.2,2.3,627.7,8.1,,
131.8,10.4,1178,104,1390.399,37.052865,166.2,1.3,628.1,7.5,,
132.4,5.6,1180.4,59,1399.605,52.77665,166.2,5.9,628.6,25,,
133.2,6.4,1180.5,27.4,1411.314,31.567265,167,5.3,629,6.2,,
133.9,3.1,1181.4,19.8,1416.676,73.03605,167.4,5.3,629.5,11.2,,
134.1,8.7,1182.1,25.2,1431.255,58.50705,167.5,1,629.5,10.9,,
134.9,5.1,1182.2,27.7,1498.175,46.80357,168.1,4.2,630,6,,
135.2,7.3,1184.8,45.8,1501.368,50.63685,168.4,12.1,630.3,18.4,,
136.4,5.4,1185.7,40.9,1531.177,47.05344,168.5,5,630.6,6,,
137.1,8.5,1190.3,19.8,1580.593,37.394785,168.7,9.6,630.7,10.5,,
137.2,7.4,1194,54,1585.699,27.644815,168.8,4.1,630.8,23.5,,
137.4,11,1197.3,65,1586.018,62.8698,168.8,2.4,630.9,6.4,,
137.5,7.1,1203.1,52.5,1590.63,81.3341,168.8,3,630.9,8.5,,
137.8,5.4,1205.5,56.5,1599.116,44.89579,169.2,11.6,633,18.3,,
138.4,8.7,1206,67,1604.914,29.67499,169.2,2.7,633,20.6,,
138.6,6.1,1206.5,58.9,1620.061,49.988725,169.7,3.2,633.2,8.4,,
139.4,6.5,1209.4,35.3,1622.453,35.65379,169.7,5,636.5,6.1,,
139.4,7.9,1209.4,30.9,1623.793,31.853605,170,5.6,638.9,11.3,,
140.5,5.5,1213.1,19.7,1625.188,41.41018,170.1,4.1,641.2,9.8,,
142.7,13.2,1214.4,55.8,1629.681,34.726675,170.5,3.1,641.4,6.1,,
144.1,3.7,1216.2,42.9,1633.937,46.37465,170.8,2.1,642,6.6,,
148.1,8.9,1221,24.7,1637.317,46.44237,171.1,5.8,642.2,30.7,,
149.4,4.3,1224.3,30.7,1643.394,44.58293,171.2,4,642.3,21.5,,
155.3,4.1,1239.3,20.6,1645.778,49.57277,171.2,3,642.7,3.1,,
158.8,6.9,1241.3,104.2,1646.853,45.00629,171.3,5.5,643.1,17.3,,
160,11.9,1242.8,35.9,1649.84,33.264175,171.9,4.3,643.9,11,,
346.7,27.3,1247.7,21.7,1653.647,75.72765,171.9,3,644.3,16.3,,
365.3,11,1258,67,1654.403,70.68405,172.1,2.9,645,9.7,,
407.7,9.3,1259.2,58.7,1656.206,47.99965,172.4,4.6,645.8,18,,
430.5,9.3,1259.6,19.4,1660.173,33.306825,172.5,5.1,646.4,8.6,,
482,19.7,1264.4,58,1661.424,48.62423,172.5,2.6,646.6,5.7,,
519.9,33.1,1264.9,104.7,1663.617,36.65687,172.8,1.8,646.6,10.1,,
573.3,49.2,1266.2,60.8,1665.713,55.24165,173.1,1.7,649.6,6.4,,
579.9,16,1268.3,36.1,1668.199,32.79815,173.2,3.5,651,8.6,,
621.6,20.9,1270,45,1670.887,55.90595,173.3,1.8,651.2,4.5,,
638.7,19.5,1274.3,24,1678.965,37.319915,173.5,1.7,653.1,13.2,,
652.8,31.1,1279.4,42.3,1684,45.18782,173.8,7.5,656,27.3,,
714.7,19,1289.8,29,1692.263,45.706185,173.8,2.7,656.2,16.1,,
761.2,10.3,1304.1,31.2,1693.125,36.96697,174,2.7,666,14.7,,
768.3,24.5,1310.7,56.1,1695.842,47.51405,174.3,16.4,678.1,27.1,,
887.8,53.9,1327.6,15.1,1701.831,41.21901,174.3,13.6,687.5,18.1,,
906.9,68,1332.8,98.7,1703.554,59.11055,174.3,2.9,688.2,11,,
918.5,12.3,1337.9,71.5,1706.151,51.07195,174.4,5,699,30.7,,
971.8,63.5,1341,41,1706.42,46.54619,174.7,5.4,702.6,11.1,,
978.1,17,1352.3,65.6,1710.658,36.098265,175.3,4.7,704.3,8.9,,
1017.8,35.7,1357.7,14.7,1713.41,26.476865,175.6,1.3,737.4,7,,
1023.7,26.2,1371.8,57.9,1716.932,39.064275,175.7,5.7,738.6,8.9,,
1043,27.8,1378,41,1740.045,64.56935,176,3.4,748.5,12.2,,
1044.9,10.9,1382,29.4,1750.496,45.29846,176.1,1.8,758.8,10.2,,
1070.7,21.2,1389,55,1751.633,60.70545,176.2,4.5,769.9,18.8,,
1074.3,15.2,1396.9,94.1,1755.379,35.665585,176.3,3.6,782.4,14.1,,
1116.1,37.5,1400.7,44.7,1757.304,34.92435,176.9,6.1,789.2,7.4,,
1165.2,25.5,1402.9,19.2,1798.596,32.5701,177,0.9,811,20.7,,
1171.3,38.4,1405.3,19.2,1834.212,57.9134,177.6,2.7,811.6,23.7,,
1305.5,26.9,1409.2,37.4,1846.234,59.08355,177.9,2.1,828.6,112,,
1454.3,45.4,1410,97,1848.568,64.16655,178.5,2.4,832.3,38.1,,
1477,77,1413.7,19.1,1853.338,35.81642,178.5,2.4,855.5,12.6,,
1554.2,54.8,1414,19.2,1861.717,41.644785,178.6,4.2,856.4,29.9,,
1556.7,26.9,1414.3,19.1,1887.923,33.026665,179.1,7.8,858.9,55.2,,
1639.5,35.3,1414.8,19.1,1927.1,28.60949031,179.1,3.2,870.2,7.3,,
1687.3,77.7,1421,19.1,2277.444,34.653665,179.2,3.4,874.9,14.3,,
1742.8,45.7,1421,35.6,2492.827,57.8909,179.2,1.9,883.1,12.5,,
1754.9,24.8,1421.7,13.5,2511.34,48.10529,179.2,1,893.9,64.2,,
1812.8,33.8,1421.8,23,2630.016,47.77919,179.4,2.6,894.4,27.1,,
1879.2,93.9,1426.6,24.9,2657.698,32.893105,182,1.5,898.4,33.9,,
2698.5,25.1,1426.7,42.4,2732.866,43.40921,182.1,2.7,904.1,32.3,,
71,1.4,1426.8,13.4,2741.745,42.76562446,182.2,2.9,906,13,,
71.3,1.7,1428.1,28.8,2918.859,69.9577,183.1,3.5,912.2,20.7,,
71.6,2.6,1428.2,19.1,77.61459,1.1176165,184,2.9,918,8.5,,
71.7,1.7,1429.1,22.9,82.97968,1.032362,184.8,3.7,922.5,52.3,,
72.1,1.8,1430.4,19.1,86.21221,0.6916725,186,7.9,924.6,11.7,,
72.1,3.1,1431,45,86.96209,1.0553625,187.1,13.5,927.6,59.5,,
72.3,2.2,1432,26.7,87.55,0.585264874,190.2,5.5,932,18.7,,
72.7,2.2,1433.1,108.1,91.00569,0.885078,191.8,7.8,933.4,13.5,,
73.2,1.9,1433.2,19.1,91.46256,0.779741,193.2,4.1,933.9,48,,
73.6,2.1,1434.1,19.1,95.53211,1.0623755,194.9,3.6,934.4,12.5,,
73.9,2.5,1436,24,95.605,0.820944471,195.7,4.3,945.4,9.1,,
74.1,1.6,1436.9,19.7,97.76613,1.5995185,196.9,2.5,947.8,36.5,,
77.1,3,1437,19,98.0212,1.5825455,199.8,3.3,950.7,36.7,,
78.4,1.8,1437.9,19.1,98.53207,1.0019875,201.7,1.5,951.3,25.1,,
78.9,1.5,1438.1,23,99.61044,1.9340435,201.8,1.9,955.2,35.3,,
81.8,1.5,1438.2,21,99.62029,0.8399635,202.7,6.8,955.8,14.1,,
82.2,2,1439.5,25.9,108.4788,2.1620025,205.6,2.5,957.7,18.1,,
82.3,3.1,1440.7,19.1,108.747,2.2532385,208.4,6.8,957.7,46.5,,
83.3,2.1,1441,14,109.4407,3.435257,208.4,7.5,958.8,9.8,,
86.5,3.3,1443.6,19.1,167.83,1.8894695,209.7,6.4,961.3,31.7,,
86.8,2.5,1444.1,30.7,359.5121,4.3142505,211,5.3,966.1,41.2,,
87,1.9,1444.7,28.6,484.0959,7.816205,211.6,3.1,966.2,45.6,,
87.8,2.2,1445.8,30.9,617.33,10.27455039,220.4,3.9,967.2,54.1,,
88.6,3.2,1447.3,18.2,631.5894,8.754045,232.3,4.1,968.2,9,,
90.1,3.3,1448.2,19.1,984.3013,11.4013,238.5,8.1,968.7,10.2,,
95.3,1.3,1448.7,19.1,1008.591,42.143595,251.8,2.3,968.9,67,,
95.6,2.8,1448.8,40,1030.22,47.98966,272.6,5,969.4,42.9,,
96.3,5.5,1450.7,25.5,1033.549,43.47615,282.4,2.6,970.8,13.3,,
97,3.6,1450.7,19,1048.17,47.264135,287.3,6.2,970.9,14.8,,
98.1,3.9,1451.9,19.1,1058.173,68.12525,318.5,23.9,971.3,9.3,,
98.8,2.8,1452,13,1065.963,68.21825,394.8,7.2,973.9,41.8,,
102.1,2.9,1452.3,35.5,1067.065,94.8149,398.3,4,974.1,22.5,,
110.3,3.6,1455,25,1082.574,28.94613,403.2,4.1,974.9,46.8,,
129.4,4.5,1455.3,72.3,1092.488,147.5526,509.7,49.2,975.7,13.7,,
130.8,2.3,1457.5,25.3,1094.117,25.552385,558.7,5.4,976.5,25.4,,
133.1,3.5,1457.5,40.5,1145.321,41.252725,559.3,8,977.9,79,,
133.5,3.8,1458.2,24.8,1158.728,37.457035,953.1,26,980,19.1,,
134.8,1.5,1460.1,60.9,1173.628,30.32398,1001.6,45.9,983.6,59.9,,
135.9,4.2,1461,19,1193.22,70.34145,1008,23.8,984.1,24.8,,
151.6,4.1,1462.6,78.3,1304.583,81.4309,1021.8,25.6,986.4,35.1,,
154,4.1,1464.7,30.8,1308.205,9.970081332,1037.6,30.3,987.4,48.1,,
156.1,6.7,1468.4,19,1317.06,62.26615,1043.4,28.2,988.2,42.4,,
157.2,1.8,1468.6,19,1320.854,31.66588,1052.3,51,988.7,67.2,,
157.3,8.2,1468.9,17.5,1357.55,35.14238797,1053.7,38.1,991.3,54,,
157.7,4.9,1469.1,43.3,1406.602,41.62391,1060.4,42.5,992.4,81.3,,
158.3,3.5,1469.3,34,1420.801,51.2177,1068,31.6,992.6,13.3,,
163.6,2.1,1470,41.2,1446.031,41.251955,1096.1,36.3,993.1,36,,
164.7,3.3,1474.2,26,1454.873,26.49715,1101.3,67,993.2,24.5,,
165.2,2.7,1474.4,36.1,1474.837,39.85907,1102.5,67.2,993.9,39.1,,
165.3,2.3,1474.5,20.3,1501.779,48.32522,1109.9,73.4,995.2,12.4,,
167.7,4.2,1474.5,45.4,1596.057,57.31995,1113.6,74.9,995.3,42.1,,
167.7,6.9,1477.7,19,1603.108,47.034385,1116.4,22.9,996.6,51.3,,
213.6,2.9,1480.7,41,1630.526,44.995095,1126.7,56.2,997,43.3,,
214.1,4.3,1483,68.3,1643.246,63.08185,1126.9,57.2,997.2,15.2,,
256.9,2.8,1485.7,44.4,1653.069,28.73791,1160.7,41.4,999.7,64.1,,
257.5,3.2,1486.4,30.3,1666.296,32.929435,1167.6,40,999.7,33.4,,
271.3,5,1495,22.8,1677.354,53.6423,1168.7,30.3,1000,21.4,,
370.6,4.7,1495.8,30,1680.314,45.77283,1175.4,34.8,1000.5,48.2,,
411.6,26.2,1499.4,24.2,1685.324,38.114585,1183.6,25,1001.4,37.3,,
420.6,15.2,1502.8,31.5,1691.059,40.632795,1214.1,69.4,1002,43,,
458.6,11.6,1503,27,1697.307,36.66583,1225.1,70.6,1002.2,73.8,,
496.5,10.2,1503.8,79.1,1697.491,38.022095,1269.7,11.7,1002.2,52.8,,
514.5,7.9,1508.4,37.6,1707.04,31.642815,1277.7,41.4,1002.7,38.9,,
578.4,18.1,1512.6,30,1709.819,41.061655,1281.7,88.9,1002.9,8.1,,
593.5,24.8,1512.9,36.1,1710.667,35.986835,1293,17.7,1003.9,48.6,,
886.3,32.3,1513.1,24.7,1712.29,44.620415,1307.7,58.9,1006,39.8,,
904.9,36.2,1518.4,24.9,1720.611,332.1382,1355,21.8,1006.5,53.1,,
944.5,40.4,1518.7,36.6,1727.283,42.183985,1394.5,15.9,1006.5,52.4,,
954,29.3,1520.8,47.3,1728.557,39.45656,1397.5,54.9,1007.8,48.3,,
1002.5,26.8,1525,23,1731.8,60.6067,1398.4,66,1007.9,21,,
1030.7,20.3,1528.7,74.1,1746.776,41.86002,1411.1,17.2,1008.2,20.3,,
1048,53.2,1529.5,29.2,1759.759,45.842515,1418.5,24.3,1008.7,95.9,,
1062.3,21.5,1531.1,28.9,1763.795,34.968935,1422.8,16,1009.7,35.4,,
1081.1,23,1545.5,29,1769.529,35.45263,1430.6,65.7,1010.8,38.3,,
1131.4,28.5,1548.1,15.1,1773.073,46.801725,1437.3,49,1011.1,27.5,,
1138.6,23.5,1576,13,1775.493,20.266995,1438.4,8.6,1011.9,46.8,,
1371.7,37.9,1578.4,61.6,1777.848,52.7847,1445.1,50.2,1013,26.9,,
1384.2,26.8,1581,13,1808.238,57.06185,1470.7,23.2,1013,39.6,,
1415.3,29.7,1588.9,32.4,1808.637,52.5844,1506.8,43.5,1014,28,,
1576.3,462.1,1598.9,18.7,1816.076,49.094235,1507.9,25.7,1014.1,44.8,,
1637.5,33.5,1606,21,1831.852,63.5583,1518.8,20.3,1014.2,49.4,,
1657.3,18.5,1612.8,39.2,1841.909,52.45285,1567.5,49.3,1014.6,37,,
1674.6,21.4,1616.4,35.3,1859.857,47.26205,1604.1,15.1,1016.2,20.3,,
1683.5,40.4,1623.8,29.4,1867.015,61.8407,1624.2,37,1018.9,35.2,,
1688.8,19.4,1624.2,18.6,1876.958,41.001735,1639.4,55.3,1019.4,35.7,,
1793,24.4,1625,66,1891.432,53.7196,1648.4,23.6,1019.4,49,,
2123.4,36.5,1625.9,18.7,1902.313,55.7716,1649.2,53.2,1020,57.2,,
2552.3,20.3,1627.9,13.1,1934.251,52.95725,1651.6,36.7,1020,36.9,,
65.9,1.7,1633.4,22.3,2074.879,65.04025,1662.9,26.5,1020.6,44.9,,
70.1,1.2,1633.8,40.7,2075.26,49.894915,1675.4,39.6,1021.1,49.6,,
74.5,1,1635.6,18.6,2298.655,41.475645,1724.7,26.8,1021.3,70.9,,
79.6,0.8,1638.2,13.1,2491.243,34.910875,1726.9,39.3,1021.8,27.1,,
79.6,0.8,1640.3,47.3,2643.254,43.056395,1749,31.9,1022.5,20.3,,
82.1,0.8,1641.1,18.6,2674.175,42.45962,1750.4,32.8,1022.9,48.2,,
82.3,1,1642.1,18.6,2675.01,48.626955,1755.5,48.5,1023.2,36.9,,
82.9,0.8,1644,18.6,2723.556,146.6495,1755.7,65.7,1023.4,20.3,,
83.4,1.7,1644.2,40.9,2737.996,41.0521,1756.5,22.1,1025,21.3,,
83.4,0.8,1645,39,2750.555,52.8662,1760.5,37,1025.8,36.9,,
83.5,2.2,1646,13,2805.872,55.58965,1760.8,71.3,1026.4,45.8,,
83.6,2.7,1649.5,38.2,2807.895,84.481,1761.6,19.8,1026.5,30,,
83.9,1.2,1649.6,27,3113.257,63.9916,1769.1,28.5,1026.9,30.2,,
133.3,1.8,1651.4,49.7,92.8,1.8,1769.4,115.5,1026.9,53.2,,
133.8,1.3,1652.7,18.5,93.8,3.4,1771.6,8.8,1027.5,62.4,,
134.6,1.3,1653.7,20.4,94.6,2,1773.9,36.9,1027.7,29.7,,
137.3,2.2,1654.7,19.5,95.2,1.8,1775.8,8.4,1027.9,42.5,,
139.2,1.5,1658.1,30.6,96.6,7.2,1776.3,49.1,1028.4,27.3,,
142.2,3.3,1659.1,18.5,96.6,3.4,1778.1,6.2,1029.4,33.6,,
144.3,3.3,1659.3,42.4,97.1,2.4,1778.1,5.7,1029.5,35.6,,
147.2,4.3,1660.8,33,97.3,2.4,1780.1,18.3,1029.6,45.6,,
148.4,2.3,1663.9,63.4,97.4,3.4,1781.9,2.2,1029.7,31,,
154.1,1.5,1664.7,25.9,97.5,4.7,1782,7.8,1029.9,41.4,,
154.6,1.5,1665.5,18.5,97.9,3.9,1782.7,11.2,1030,53.4,,
159.4,3.1,1665.5,33.2,97.9,3,1784.7,3.2,1030.1,24,,
159.6,1.8,1666.4,122.5,98.1,4.5,1785.2,12.5,1030.2,24.7,,
163.3,2.1,1666.8,69.9,98.1,9.3,1785.7,5.6,1030.4,46.3,,
163.4,1.6,1666.9,25.2,98.5,5.3,1788.4,21.2,1031.2,35.9,,
166,3.3,1667.8,26.6,98.5,3.6,1789.5,58.5,1031.7,37.4,,
211.6,2.1,1668.7,77.5,98.6,3.8,1794.5,22.2,1032.3,29.5,,
246.6,3.2,1668.7,64.9,98.7,4.5,1798.5,60.4,1033.7,33.2,,
260.6,2.6,1668.8,25.9,98.8,2.8,1799,27.1,1033.9,56.4,,
358.6,3.9,1668.8,13,98.8,3.3,1804.3,14.2,1034.6,87.4,,
