Mexican data set (Lawton et al. 2009),1 sigma,"Mogollon Highlands (Laskowski et al., 2013)",1 sigma,TSA3 Composite (May et al. 2013),1 sigma,Arc Laskowski et al. 2013,1 sigma,Mesozoic Eolianites,1 sigma,late Paleozoic Appalachian basin Washington Fm,1 sigma
1123.4,31.9,105.3,5.1,1723.946061,10.58165254,69.8,1.7,340.5,11.4,1176.8,78.9
1138.3,93,107,2.5,1725.304661,11.96739147,69.9,0.9,341.2,6.4,1200.6,55.2
1175.4,57.6,113.8,1.1,1727.229979,4.76488952,69.9,1.8,343.4,17.2,1204.7,41.8
1203,32.1,130.6,5.5,1727.972314,6.721152864,70.1,2.5,346.7,5.2,1206.1,18.1
1327.2,75.9,131.9,0.8,1730.199406,25.41493218,70.1,1.9,348,9.5,1214.4,52
1391.6,52,138.6,3.1,1731.264046,5.260241466,70.2,1,349.3,9.7,1230.2,28.3
1437.3,102.7,142.9,2,1735.987402,11.815507,70.3,2.7,350.6,13.7,1235.6,26.5
1450.9,49.7,143.5,2.2,1735.988379,14.40760463,70.3,1.5,350.7,4.8,1263.2,103.9
1483.6,59.3,143.8,2.6,1736.104401,9.744035482,70.4,1.8,351,15.4,1266.9,50.7
1486.4,66.7,144.1,4.6,1739.657058,12.401139,70.4,1.7,351.8,4.8,1284.7,41.6
1538,78.3,144.1,0.7,1741.416884,5.309653457,70.4,1.9,353,3.4,1306.8,29.3
1689.9,53.1,144.9,3.3,1746.645926,5.401295262,70.5,1.7,353.9,7.4,1311.8,28.7
1708.2,75.9,146.2,1.7,1755.198765,17.57435557,70.6,0.8,357.1,3.7,1353,70.4
1708.5,32.4,147,2.7,1756.917426,13.17548058,70.7,2.2,358.2,6.2,1362.2,91
1710.8,100.5,148.3,1.3,1759.279441,10.11751175,70.8,1.7,359.1,6.6,1444.6,56.5
1730,47.5,150.1,3.9,1761.075067,3.282211624,70.8,3.1,362.3,9.5,1455.7,12.8
