Tapeats 1,1 Sigma,Tapeats 2,1 Sigma,Lower Bright Angel,1 Sigma,Bright Angel,1 Sigma,Upper Bright Angel,1 Sigma,Temple Butte 1,1 Sigma,Temple Butte 3,1 Sigma,Surprise Canyon Conglomerate,1 Sigma,Surprise Canyon 06GC149,1 Sigma,Surprise Canyon 2,1 Sigma,Watahomigi,1 Sigma,Manacacha 1,1 Sigma,Basal Wescogame 06GC147,1 Sigma,Esplanade,1 Sigma,Esplanade 06GC156,1 Sigma,Esplanade 06GC155,1 Sigma,Lower Hermit,1 Sigma,Hermit,1 Sigma,Upper Hermit,1 Sigma,Coconino 1,1 Sigma,Coconino 2,1 Sigma,Toroweap 1,1 Sigma,Toroweap 2,1 Sigma,Kaibab,1 Sigma,Kaibab 2,1 Sigma
1460.468395,22.10702073,1436.353758,34.99160939,1774.515193,22.69509128,1068.855263,45.46631344,1707.992126,14.17907545,1819.750433,43.20702561,1736.603867,46.3999423,2096.043492,2.78101959,1907.737523,10.80503905,1421.287033,25.74416519,2056.114423,36.13774042,1188.661749,19.81930759,1414.137638,47.42145806,1726.274182,29.38524859,699.0667471,16.56244123,1655.916865,19.26828093,438.8777457,22.66765899,1058.543521,15.95116982,1649.926702,24.58930649,1121.559922,34.48290323,1052.819832,41.44283601,307.6914231,6.182170767,1413.176528,37.34810045,587.3170371,17.17756209,1352.858875,82.51196148
1697.587029,29.51311374,1770.227847,38.92243327,1439.555171,28.30536087,1737.240576,16.40054994,2430.111628,8.231450694,1743.019441,25.33787695,1266.095496,42.63370737,2768.034224,8.836873634,1197.934914,34.56208401,2013.994587,17.85101521,2724.110708,30.97570962,1505.627942,19.74591756,1193.711735,57.69559436,1414.02328,43.4858035,435.379633,4.925732826,1561.183928,25.69732426,575.5096553,27.71650657,1015.563594,56.25818071,1005.465908,71.91259111,1760.183529,49.94606283,527.2871079,5.905514079,621.7606503,16.21204762,1015.265824,86.27900869,1146.310565,73.67756166,1498.496146,39.86725208
1705.568596,44.22603361,2684.598539,29.11225356,1785.536267,8.953447643,1421.413344,84.8951736,1722.216817,43.05315351,1529.912828,76.68513091,1431.073097,106.9788104,1215.437431,71.68964213,1787.552371,7.359141939,1202.580305,34.25366228,1660.954574,56.68719941,1168.744855,29.71073891,1207.2664,52.44140734,2782.469282,35.23482497,2706.989867,21.28437925,1161.514066,23.20660001,1144.849691,9.735773168,1654.692123,26.20461755,1459.953341,9.188022255,1082.286693,46.47703957,1071.55105,30.32147754,1757.289003,12.95328715,985.6796572,47.25674719,463.6992316,11.23012306,2811.06613,7.099471671
1695.110523,39.45437789,1750.092228,57.1565352,1750.01284,16.59481472,1729.466054,14.89044397,1711.922806,10.59591967,1429.247543,49.50194666,1820.967373,43.74213883,1081.656884,69.66247592,1089.471821,24.058301,1735.595186,12.48148265,1402.438704,31.63970327,1641.724053,20.14393901,2014.220597,36.39998945,1783.507492,18.59619044,1708.724263,64.9769324,1802.763743,18.18838172,2467.733506,22.87623626,1106.599222,97.05324592,580.7834315,7.738509774,1043.011633,52.78448184,1351.1598,57.99866321,1538.867916,19.06549281,2078.021213,70.81836667,1631.769652,36.08816468,2714.861141,9.376003323
1662.776329,25.95418652,1459.348986,33.16589375,1929.898472,17.6445541,1738.727305,21.62198857,1037.280069,24.93780531,1874.211312,78.26783339,1690.258329,38.7526322,1011.22526,62.36677133,1982.0575,17.82869667,1040.105466,52.29855087,2003.993714,32.36731391,1517.79834,18.90937708,1761.123656,34.99053508,1665.313133,23.31508773,1832.516581,28.45101371,1796.993038,25.66107983,2079.722584,10.09491365,2652.308806,5.246102208,1639.607077,18.23467914,1131.028013,34.45645804,1075.599925,45.15863274,439.1674536,11.86948772,496.6977525,7.553107692,1808.606992,29.29305788,2094.735061,16.94460298
1796.516034,40.77654002,1652.520687,48.71253742,1771.533611,26.30388843,1644.16312,13.96804863,1640.517393,12.95346204,1739.009282,33.38439346,1803.191584,35.10818859,1178.89004,41.06273278,451.1480538,11.73156336,1017.433131,35.48190174,608.0725968,6.499096386,1029.749749,49.51102334,1643.927872,22.11688445,1518.328286,26.02963667,987.5382378,36.02963332,1168.816059,31.92434352,1505.249637,24.85402506,1765.370049,12.87053273,403.6460816,10.44523768,1506.576129,8.378275416,1111.721607,38.375735,443.2582168,8.584056434,1033.299581,65.15004209,1419.887396,68.06295761,2548.168373,12.72989085
1864.343105,21.66599651,1764.342463,40.3932256,1713.252759,22.94849152,1739.407645,29.45408667,1681.551376,35.80383237,1739.936802,15.60209391,1675.081947,24.81327239,1250.868491,26.44043501,1743.890686,18.5195738,1033.435236,14.62137716,1619.987583,45.24444678,1662.317696,29.86970179,884.1264435,21.72872509,2621.274381,34.27201098,1923.673873,36.03151299,1046.919015,24.32887932,1100.815703,73.58363754,695.5047147,6.6968188,768.7300599,36.19199229,1846.108104,10.86153024,1732.936112,44.41446753,1083.265795,35.89265991,1621.623371,44.69410126,539.7017792,13.35737694,999.6574612,85.08102396
1667.660183,35.15356951,1737.371538,26.25310082,1621.131849,11.11916466,1649.884789,26.22886957,1431.428181,30.75196584,1999.385799,34.99110605,1423.122495,42.23428964,1074.047587,53.4546512,1729.342739,11.49627207,1650.090036,21.24317621,392.6655386,12.22837029,995.6148392,41.90184694,1707.396529,52.30354275,2486.857213,49.05855047,1309.924071,65.42138074,1755.259049,28.35630385,1062.768554,74.44026563,574.7940034,10.61780394,1076.797788,32.17708615,1024.575742,12.07491737,1687.222122,65.89647681,1755.610438,26.69287646,1048.076475,88.72261923,1660.595186,38.72916671,1611.252058,11.55476495
1711.972731,31.36642495,1792.989779,26.42540662,1675.92881,22.77695693,1739.520286,26.15366939,1708.37917,13.39264056,1772.277464,46.61268647,1703.441154,39.46463461,984.1400609,46.78870893,1940.692898,14.99106218,1517.587669,31.98400718,1063.587397,59.47053996,1043.266927,20.21628563,1890.842486,53.73552754,1651.894981,25.21869292,1128.733977,54.00250361,1636.723267,22.67391799,603.6223015,19.3406525,2656.0672,19.38420316,1052.213581,15.49899622,1159.63038,57.51829606,1115.259843,27.99157026,1742.996217,55.66242314,1186.217815,32.64242014,1920.850039,17.75706585,1786.700842,8.444224361
1431.671927,39.4179977,1463.806358,19.02618906,1741.328069,37.2808354,1723.906484,12.4489482,1715.068409,18.75079747,1853.669035,18.6335632,1784.920924,46.08581252,1411.181205,29.03396618,1717.404894,11.39068224,1317.925103,71.91622624,2440.273374,23.54735637,1768.930066,25.22856957,1547.27145,32.08672305,1656.199514,33.90572979,1448.691787,42.65311873,1101.479213,48.21898794,1166.452836,27.25898959,1662.356568,16.76232667,600.2179089,20.62305451,1895.35717,15.96521697,1088.467624,57.85633598,644.8138913,19.16623323,1542.234452,74.23593938,1791.887912,22.76632102,1015.89315,61.61313571
